document name,begin offset,end offset,context left,text,context right
skylax_syntaxtrees_perseus.conllu,19,22,. ἄρξομαι δὲ ,ἀπὸ, Ἡρακλείων στηλῶν τῶν
skylax_syntaxtrees_perseus.conllu,44,46,Ἡρακλείων στηλῶν τῶν ,ἐν, τῇ Εὐρώπῃ μέχρι
skylax_syntaxtrees_perseus.conllu,57,62,ἐν τῇ Εὐρώπῃ ,μέχρι, Ἡρακλείων στηλῶν τῶν
skylax_syntaxtrees_perseus.conllu,84,86,Ἡρακλείων στηλῶν τῶν ,ἐν," τῇ Λιβύῃ,"
skylax_syntaxtrees_perseus.conllu,101,106,"Λιβύῃ, καὶ ",μέχρι, Αἰθιόπων τῶν μεγάλων
skylax_syntaxtrees_perseus.conllu,212,215,πλοῦν ἡμέρας. ,ἀπὸ, Ἡρακλείων στηλῶν τῶν
skylax_syntaxtrees_perseus.conllu,237,239,Ἡρακλείων στηλῶν τῶν ,ἐν, τῇ Εὐρώπῃ ἐμπόρια
skylax_syntaxtrees_perseus.conllu,484,487,ἀπέχουσαν ἡμέρας πλοῦν ,ἀπὸ, Ἡρακλείων στηλῶν.
skylax_syntaxtrees_perseus.conllu,661,664,καὶ Ἴβηρες. ,ἀπὸ, δὲ Ἰβήρων ἔχονται
skylax_syntaxtrees_perseus.conllu,709,714,καὶ Ἴβηρες μιγάδες ,μέχρι, ποταμοῦ Ῥοδανοῦ.
skylax_syntaxtrees_perseus.conllu,749,752,. παράπλους Λιγύων ,ἀπὸ, Ἐμπορίου μέχρι Ῥοδανοῦ
skylax_syntaxtrees_perseus.conllu,762,767,Λιγύων ἀπὸ Ἐμπορίου ,μέχρι, Ῥοδανοῦ ποταμοῦ δύο
skylax_syntaxtrees_perseus.conllu,820,823,. Λίγυες. ,ἀπὸ, Ῥοδανοῦ ποταμοῦ ἔχονται
skylax_syntaxtrees_perseus.conllu,855,860,ποταμοῦ ἔχονται Λίγυες ,μέχρι, Ἀντίου. ἐν
skylax_syntaxtrees_perseus.conllu,869,871,μέχρι Ἀντίου. ,ἐν, ταύτῃ τῇ χώρᾳ
skylax_syntaxtrees_perseus.conllu,1016,1019,δ’ ἐστὶ ταύτης ,ἀπὸ, Ῥοδανοῦ ποταμοῦ μέχρι
skylax_syntaxtrees_perseus.conllu,1036,1041,ἀπὸ Ῥοδανοῦ ποταμοῦ ,μέχρι, Ἀντίου ἡμερῶν δύο
skylax_syntaxtrees_perseus.conllu,1076,1079,νυκτῶν δύο. ,ἀπὸ, δὲ Ἡρακλείων στηλῶν
skylax_syntaxtrees_perseus.conllu,1100,1105,δὲ Ἡρακλείων στηλῶν ,μέχρι, Ἀντίου ἡ χώρα
skylax_syntaxtrees_perseus.conllu,1151,1154,. Τυρρηνοί. ,ἀπὸ, δὲ Ἀντίου Τυρρηνοὶ
skylax_syntaxtrees_perseus.conllu,1180,1185,Ἀντίου Τυρρηνοὶ ἔθνος ,μέχρι, Ῥώμης πόλεως.
skylax_syntaxtrees_perseus.conllu,1255,1259,. Κύρνος. ,κατὰ, δὲ Τυρρηνίαν κεῖται
skylax_syntaxtrees_perseus.conllu,1302,1305,. ἔστι δὲ ,ἀπὸ, Τυρρηνίας ὁ πλοῦς
skylax_syntaxtrees_perseus.conllu,1324,1327,Τυρρηνίας ὁ πλοῦς ,εἰς, Κύρνον ἡμέρας καὶ
skylax_syntaxtrees_perseus.conllu,1365,1367,. καὶ νῆσος ,ἐν, μέσῳ τῷ πλῷ
