"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"dc426f56-11f8-4c56-8a28-b9f49b0696ab","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἡρακλείων                         στηλῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::25;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::65","PLACE","http://pleiades.stoa.org/places/275614","Columnae Herculis","-0750/0300","35.9358335","-5.384583","cape","VERIFIED","","full expression is Ἡρακλείων στηλῶν τῶν ἐν τῇ Εὐρώπῃ to indicate the area. It is not, however, a named entity but a directional expression of place. ","",""
"7498b97e-8253-48f1-80ee-d04550bcd131","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Εὐρώπῃ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::76;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::82","PLACE","","","","","","","NOT_IDENTIFIABLE","","","",""
"6e60c4c9-3ea4-4d68-a5a7-2bbc84cc2ccf","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἡρακλείων                         στηλῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::89;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::129","PLACE","http://pleiades.stoa.org/places/275614","Columnae Herculis","-0750/0300","35.9358335","-5.384583","cape","VERIFIED","","full expression is Ἡρακλείων στηλῶν τῶν ἐν τῇ Λιβύῃ. it is not however a named entity but a directional expression of location.","",""
"cc51dada-16c8-490e-9b65-732b9121c53c","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Λιβύῃ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::140;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::145","PLACE","","","","","","","NOT_IDENTIFIABLE","","","",""
"31664ec5-11e9-44c6-b92b-2ac808ceee87","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Αἰθιόπων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::157;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::165","PLACE","http://pleiades.stoa.org/places/334481","Aethiopia","-0030/0300","32.5","3.5","region","VERIFIED","group|ethnic|μεγάλοι","","",""
"3b5520f7-f708-4a83-aa1c-8ad97fe82e81","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἡράκλειαι                         στῆλαι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::209;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::249","PLACE","http://pleiades.stoa.org/places/275614","Columnae Herculis","-0750/0300","35.9358335","-5.384583","cape","VERIFIED","","","",""
"78b2b47a-58bd-41e8-acf4-6055bb29b1c1","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἡρακλείων                         στηλῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::290;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::330","PLACE","http://pleiades.stoa.org/places/275614","Columnae Herculis","-0750/0300","35.9358335","-5.384583","cape","VERIFIED","","full expression is Ἡρακλείων στηλῶν τῶν ἐν τῇ Εὐρώπῃ to indicate the area. It is not, however, a named entity but a directional expression of place. ","",""
"b36a770d-c1ff-41bd-bc4d-7049a931cb6c","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Εὐρώπῃ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::341;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::347","PLACE","","","","","","","NOT_IDENTIFIABLE","","","",""
"249dab53-d1a4-46a2-8373-c0245ca64845","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Καρχηδονίων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::362;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::373","PLACE","http://pleiades.stoa.org/places/314921","Ziqua|Monument circulaire|Basilique de Dermech|Odéon|Théâtre|Carthago|Carthago, Carthago|Nécropoles puniques|Rotonde de Damous El Karita|Ziqua, Zaghouan","-0750/2100","36.857569","10.327986","amphitheatre,cemetery,villa,theatre,port,church,settlement,circus,bath","VERIFIED","group|ethnic","","",""
"ddf0e9db-61b2-4ae8-82bb-9140d7ac41c8","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Εὐρώπης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::14;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::21","PLACE","","","","","","","NOT_IDENTIFIABLE","","","",""
